address,tranAtt,refundAtt,diff
0xec286f8be15c3acbcb9eda7a5c4393fd18f44bba,26400,26400,0
0x60427089b4c9219b3aac2cdbd9b9fd7b63e6d52e,2640,2640,0
0x74769983eb772d867b372b7f62af1bb8cae0b528,3293.4,3293.4,0
0xddebbec9785870760f9dc02dc27e2719c390bfd6,3960,3960,0
0x122848c028c1196f52f26a1cf66202ecdd1643dd,6600,6600,0
0xb5604c2c63804c633ae93e4ad3d14bcbade15bf4,3300,3300,0
0x06eae0d354587daa9d7bf566ac395187a351b6ab,1300.2,1300.2,0
0xda5114082c872bf77e605f35850fcc1c40ce6548,1320,1320,0
0x6307cb5f1d34f90073aabfeee93fb3e492c340ce,16500,16500,0
0xf3d31acc1928f72ce526053d11b42a7cb14827d8,3003,3003,0
0x062139ea1180c6ac0818996468d7e849059fb118,19800,19800,0
0xd9ffb44d457922fe3c769b286f65bb6a13260f53,660,660,0
0xdb7e4cada16c53b987b03e496a63b51f565889cc,13200,13200,0
0xf76e9d7d85c63662640394a86138b75cfb172b43,1320,1320,0
0x15ee91fe19f7586f71da18982ab47cc78fdb1ebd,11748,11748,0
0xdb2790babd053b21cf548077953a9f25d9de9e0c,21120,21120,0
0xb7fc175d8cda85c2df6f8c3f5f09d48e600aaf48,3090.516,3090.516,0
0x547afb5b5ccf85467b2cfe72902c9534c4939dfc,9712.56,9712.56,0
0xb51e6a1a0194938c83c4a624ba5e24b3493ccb7a,6600,6600,0
0x545d6ccfd4d74058d57d92b494a6d9e2abbd18bc,990,990,0
0x8427284f780209d126a9c7653f74763c9d4698fa,3432,3432,0
0x749dec1ac3478804db7fd795783b1a0bfec76a8e,10428,10428,0
0xaa8888c4daa3920dc470b872edeccafced0a76f6,57420,57420,0
0x5107fa069d064400d0f16a45220b737b4e9d0cde,1320,1320,0
0xa2b72004de4358ba489452a03c8e4d4d1e4f44bb,286787.43217670305024716,286787.432176703,5.024716e-11
0x686789368a836d5c60d1c5f69efaffaf8b5cf293,9240,9240,0
0x95edcfc6d30ae64e51e1e354a6f3b572774e194f,19800,19800,0
0x29d8f97cec21ac930e6fa92985576e0d569e4ac6,2838,2838,0
0xbd09cab0d12012db271c24d27adb305bd7124b02,2046,2046,0
0x98f2931f61d225fc47bdc0e5afded71bd3721434,7590,7590,0
0x5275372b424942c647139a2086b41a97982bff40,1003.2,1003.2,0
0x09c58b6976edc1e7f8cf611daa15826ea5ae17c5,9900,9900,0
0xacacc26b44fdb92546e95e5eaa2a1a63fbc79ad8,11880,11880,0
0x0e57a994a01b025651b0e2c6d18cf482ea72b445,16500,16500,0
0xbe7e83260a04a0fb95c0988831714c7bc9a436cb,12540,12540,0
0xc720f491fe65b8bd63728efaa24494dcc36f2d62,3537.6,3537.6,0
0xe6d1b045d8f37a8502cd17ce78dad7fb9c4d62fa,6600,6600,0
0x24957cd5e915b1d6400187a6b05fd59b7f5478a9,16500,16500,0
0x53c69ec882de00c1a8ab951720acb6fe19eeeace,30360,30360,0
0x5fcf506e7da7cec26e26a552ff8f905f50d5d2a4,3102,3102,0
0x8aa79bbba3428a05bd70f8efe5612bb01ba4c0bc,3762,3762,0
0x2a2b4096d826ba35be3f9c011bd23f5ea60b671c,660,660,0
